name,status,market,category_list,country_code,state_code,region,funding_total_usd,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,angel,round_A,round_B,round_C,days_to_first_check,time_between_rounds
#waywire,acquired, News ,|Entertainment|Politics|Social Media|News|,USA,NY,New York City,1750000.0,1.0,2012-06-01,2012-06-30,2012-06-30,1750000.0,0.0,0.0,0.0,0.0,0.0,29.0,0
(In)Touch Network,operating, Electronics ,|Electronics|Guides|Coffee|Restaurants|Music|iPhone|Apps|Mobile|iOS|E-Commerce|,GBR,Non-US/Unknown,London,1500000.0,1.0,2011-04-01,2011-04-01,2011-04-01,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"1,2,3 Listo",operating, E-Commerce ,|E-Commerce|,CHL,Non-US/Unknown,Santiago,40000.0,1.0,2012-01-01,2013-02-18,2013-02-18,40000.0,0.0,0.0,0.0,0.0,0.0,414.0,0
10 Minutes With,operating, Education ,|Education|,GBR,Non-US/Unknown,London,4400000.0,2.0,2013-01-01,2013-01-01,2014-10-09,400000.0,4000000.0,0.0,4000000.0,0.0,0.0,0.0,646
1000 Corks,operating, Search ,|Search|,USA,OR,"Portland, Oregon",40000.0,1.0,2008-01-01,2011-08-23,2011-08-23,40000.0,0.0,0.0,0.0,0.0,0.0,1330.0,0
1000 Markets,acquired, Marketplaces ,|Marketplaces|Art|E-Commerce|,Unknown,Non-US/Unknown,Unknown,500000.0,1.0,2009-01-01,2009-05-15,2009-05-15,500000.0,0.0,0.0,0.0,0.0,0.0,134.0,0
1001 Menus,operating, Restaurants ,|Local Businesses|Restaurants|,FRA,Non-US/Unknown,Paris,4059079.0,4.0,2010-11-20,2012-12-15,2013-11-13,522169.0,3536910.0,0.0,3536910.0,0.0,0.0,756.0,333
100health,operating, Health Care Information Technology ,|Health Care Information Technology|,USA,WI,Madison,420000.0,1.0,2014-07-04,2014-11-26,2014-11-26,420000.0,0.0,0.0,0.0,0.0,0.0,145.0,0
100Plus,acquired, Analytics ,|Analytics|,USA,CA,SF Bay Area,1250000.0,2.0,2011-09-16,2011-11-02,2011-11-30,750000.0,500000.0,0.0,0.0,0.0,0.0,47.0,28
10BestThings,closed, Curated Web ,|Curated Web|,USA,OH,Cleveland,50000.0,1.0,2009-04-01,2009-04-01,2009-04-01,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10sec,operating, Mobile Commerce ,|Social Commerce|E-Commerce|Mobile Commerce|,Unknown,Non-US/Unknown,Unknown,1600000.0,2.0,2013-07-08,2013-10-31,2014-05-08,1600000.0,0.0,0.0,0.0,0.0,0.0,115.0,189
121cast,operating, Mobile ,|Audio|Music|Mobile|,AUS,Non-US/Unknown,Melbourne,270000.0,2.0,2012-02-01,2012-05-01,2012-11-13,250000.0,0.0,0.0,0.0,0.0,0.0,90.0,196
121nexus,operating, Pharmaceuticals ,|Politics|Technology|Medical Devices|Pharmaceuticals|Personalization|Software|,USA,RI,Providence,794000.0,6.0,2011-10-07,2012-02-06,2014-01-01,69000.0,0.0,500000.0,0.0,0.0,0.0,122.0,695
1234ENTER,operating, Advertising ,|Small and Medium Businesses|Education|Analytics|Internet Marketing|Business Services|Advertising|E-Commerce|,Unknown,Non-US/Unknown,Unknown,650267.0,2.0,2012-01-01,2012-09-01,2013-11-22,500000.0,150267.0,0.0,0.0,0.0,0.0,244.0,447
1248,operating, Software ,|Software|,GBR,Non-US/Unknown,London,378812.0,1.0,2013-01-01,2014-03-18,2014-03-18,378812.0,0.0,0.0,0.0,0.0,0.0,441.0,0
13th Lab,operating, Mobile ,|iPad|Games|Augmented Reality|Computer Vision|Mobile|,SWE,Non-US/Unknown,Stockholm,700000.0,1.0,2010-01-01,2012-06-15,2012-06-15,700000.0,0.0,0.0,0.0,0.0,0.0,896.0,0
140Fire,operating, Entertainment ,|Entertainment|Sports|Real Time|Social Media|Video|Advertising|,USA,CA,Los Angeles,500000.0,1.0,2010-01-01,2010-05-05,2010-05-05,500000.0,0.0,0.0,0.0,0.0,0.0,124.0,0
15Five,operating, Software ,|Software|,USA,CA,SF Bay Area,3400000.0,3.0,2011-05-01,2012-01-01,2014-10-02,2200000.0,0.0,1200000.0,0.0,0.0,0.0,245.0,1005
15MinutesNOW,operating, Games ,|Games|,Unknown,Non-US/Unknown,Unknown,200000.0,1.0,2011-04-19,2011-05-10,2011-05-10,200000.0,0.0,0.0,0.0,0.0,0.0,21.0,0
1DayMakeover,closed, E-Commerce ,|Shopping|Cosmetics|Personal Health|Lifestyle|Fashion|E-Commerce|,USA,CA,"Orange County, California",50000.0,1.0,2008-06-30,2008-06-30,2008-06-30,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1Lay,operating, Mobile Security ,|Mobile Security|Mobile Devices|Tablets|Mobile|Security|,Unknown,Non-US/Unknown,Unknown,170000.0,1.0,2013-07-18,2014-05-30,2014-05-30,170000.0,0.0,0.0,0.0,0.0,0.0,316.0,0
1Mind,operating, Social Media ,|Social Media|,USA,NH,"Manchester, New Hampshire",500000.0,1.0,2011-01-01,2013-08-05,2013-08-05,500000.0,0.0,0.0,0.0,0.0,0.0,947.0,0
1SDK,operating, Predictive Analytics ,|SaaS|Predictive Analytics|Monetization|Mobile|,DEU,Non-US/Unknown,Berlin,156000.0,2.0,2013-01-25,2013-08-05,2013-09-02,156000.0,0.0,0.0,0.0,0.0,0.0,192.0,28
20lines,operating, Curated Web ,|Publishing|Education|Parenting|Curated Web|,ITA,Non-US/Unknown,Roncade,1236454.0,3.0,2012-01-01,2012-11-15,2014-06-01,1236454.0,0.0,0.0,0.0,0.0,0.0,319.0,563
